id,name,ranking,team_id
198,Dion Phaneuf,198,27
199,Nick Bonino,199,23
200,James Wisniewski,200,5
201,Aleksander Barkov,201,13
202,Mikael Granlund,202,15
203,Cam Fowler,203,1
204,Alex Killorn,204,26
205,Zdeno Chara,205,3
206,Loui Eriksson,206,3
207,Nazem Kadri,207,27
208,Joffrey Lupul,208,27
209,Alexander Edler,209,28
210,Adam Henrique,210,17
211,Cam Ward,211,5
212,Matt Moulson,212,4
213,Jakob Silfverberg,213,1
214,Jori Lehtera,214,25
215,Brian Campbell,215,13
216,Johan Franzen,216,11
217,Elias Lindholm,217,5
218,Marko Dano,218,7
219,Reilly Smith,219,13
220,Erik Johnson,220,9
221,Anton Stralman,221,26
222,Eddie Lack,222,5
223,Jimmy Hayes,223,3
224,Seth Jones,224,18
225,Robin Lehner,225,4
226,Jack Johnson,226,8
227,Frans Nielsen,227,19
228,Alex Goligoski,228,10
229,Mike Ribeiro,229,18
230,Mike Fisher,230,18
231,Alex Stalock,231,24
232,Clarke MacArthur,232,21
233,Brad Richards,233,11
234,Justin Abdelkader,234,11
235,Brock Nelson,235,19
236,Christian Ehrhoff,236,14
237,Tommy Wingels,237,24
238,Tyler Bozak,238,27
239,Matt Dumba,239,15
240,Anton Khudobin,240,1
241,Alex Tanguay,241,9
242,Marcus Johansson,242,29
243,Steve Downie,243,2
244,Kris Russell,244,6
245,Andrei Vasilevskiy,245,26
246,Ryan Ellis,246,18
247,Jared Spurgeon,247,15
248,J.T. Miller,248,20
249,Kris Versteeg,249,5
250,John Gibson,250,1
251,Jiri Tlusty,251,17
252,Brayden McNabb,252,14
253,Mathieu Perreault,253,30
254,Danny DeKeyser,254,11
255,Peter Holland,255,27
256,Morgan Rielly,256,27
257,Jason Garrison,257,26
258,Antoine Vermette,258,2
259,Kevin Klein,259,20
260,Michael Raffl,260,22
261,Dustin Brown,261,14
262,David Savard,262,8
263,Cody Franson,263,4
264,Mika Zibanejad,264,21
265,Nino Niederreiter,265,15
266,Sam Bennett,266,6
267,Charlie Coyle,267,15
268,Darnell Nurse,268,12
269,Alec Martinez,269,14
270,Dan Girardi,270,20
271,Brad Boyes,271,27
272,Rasmus Ristolainen,272,4
273,Shane Doan,273,2
274,Darren Helm,274,11
275,Marco Scandella,275,15
276,Karri Ramo,276,6
277,Jussi Jokinen,277,13
278,Travis Hamonic,278,19
279,Benoit Pouliot,279,12
280,David Rundblad,280,7
281,Mason Raymond,281,6
282,David Desharnais,282,16
283,Niklas Hjalmarsson,283,7
284,Cody Eakin,284,10
285,Matt Irwin,285,3
286,Matt Read,286,22
287,Riley Sheahan,287,11
288,Zemgus Girgensons,288,4
289,Derrick Pouliot,289,23
290,Michael Ryder,290,17
291,Patrik Berglund,291,25
292,Alexander Semin,292,16
293,Bryan Bickell,293,7
294,Chris Stewart,294,1
295,Jannik Hansen,295,28
296,Joel Ward,296,24
297,Mikkel Boedker,297,2
298,Oscar Klefbom,298,12
299,Sean Couturier,299,22
300,Tyler Myers,300,30
301,James Reimer,301,27
302,Michael Del Zotto,302,22
303,Jay Bouwmeester,303,25
304,Travis Zajac,304,17
305,Trevor Daley,305,7
306,Artem Anisimov,306,7
307,Toby Enstrom,307,30
308,Alexandre Burrows,308,28
309,Jake Gardiner,309,27
310,Sam Gagner,310,22
311,Thomas Greiss,311,19
312,Adam Larsson,312,17
313,Antoine Roussel,313,10
314,Matthew Carle,314,26
315,Michael Grabner,315,27
316,Victor Rask,316,5
317,Kyle Palmieri,317,17
318,Jonas Brodin,318,15
319,Andrew Cogliano,319,1
320,Curtis Glencross,320,9
321,Milan Michalek,321,21
322,David Legwand,322,4
323,Darcy Kuemper,323,15
324,Justin Schultz,324,12
325,Andy Greene,325,17
326,Jakub Kindl,326,11
327,Mattias Ekholm,327,18
328,Pierre-Alexandr Parenteau,328,27
329,Marc-Edouard Vlasic,329,24
330,Scott Darling,330,7
331,Teddy Purcell,331,12
332,Zach Bogosian,332,4
333,Anton Lander,333,12
334,Josh Bailey,334,19
335,Marc Staal,335,20
336,Matt Cullen,336,23
337,Michael Frolik,337,6
338,Patrik Elias,338,17
339,Jean-Gabriel Pageau,339,21
340,William Nylander,340,27
341,Jordan Staal,341,5
342,Justin Fontaine,342,15
343,Michael Hutchinson,343,30
344,Ryan Spooner,344,3
345,Patrick Maroon,345,1
346,Tomas Kopecky,346,7
347,Nick Ritchie,347,1
348,Sonny Milano,348,8
349,Andrew Shaw,349,7
350,Antti Raanta,350,20
351,Keith Kinkaid,351,17
352,Alex Chiasson,352,21
353,Derek Dorsett,353,28
354,Scottie Upshall,354,25
355,Steve Ott,355,25
356,Matt Beleskey,356,3
357,Boone Jenner,357,8
358,Brian Gionta,358,4
359,Chris Higgins,359,28
360,Colton Sceviour,360,10
361,Devante Smith-Pelly,361,16
362,Josh Jooris,362,6
363,Vincent Lecavalier,363,22
364,R.J. Umberger,364,22
365,Brooks Laich,365,29
366,Michal Neuvirth,366,22
367,Brandon Sutter,367,28
368,Carter Hutton,368,18
369,Ales Hemsky,369,10
370,Dan Hamhuis,370,28
371,Nikolaj Ehlers,371,30
372,Tomas Fleischmann,372,16
373,Steve Bernier,373,19
374,Al Montoya,374,13
375,Jared Boll,375,8
376,Curtis McElhinney,376,8
377,Chris Neil,377,21
378,Max Talbot,378,3
379,Ben Scrivens,379,12
380,Philipp Grubauer,380,29
381,Jeff Zatkoff,381,23
382,Jhonas Enroth,382,14
383,Dustin Tokarski,383,16
384,Jason Demers,384,10
385,Nick Spaling,385,27
386,Patrick Eaves,386,10
387,Chad Johnson,387,4
388,Reto Berra,388,9
389,Jacob Markstrom,389,28
390,Anders Lindback,390,2
391,Niklas Backstrom,391,15
392,Jeremy Smith,392,3
393,Malcolm Subban,393,3
394,Connor Hellebuyck,394,30
395,Lee Stempniak,395,17
396,Cody McLeod,396,9
397,Mackenzie Skapski,397,20
398,Garret Sparks,398,27
399,Mike Condon,399,16
400,Troy Grosenick,400,24
401,Kristers Gudlevskis,401,26
402,Tom McCollum,402,11
403,Calvin Pickard,403,9
404,Laurent Brossoit,404,12
405,Chris Driedger,405,21
406,Jonas Gustavsson,406,3
407,Anders Nilsson,407,12
408,Richard Bachman,408,28
409,Colin Stevens,409,13
410,Spencer Martin,410,9
411,Jacob Smith,411,20
412,Mason McDonald,412,6
413,Evan Cowley,413,13
414,Brandon Whitney,414,18
415,Ryan Faragher,415,1
416,Nick Schneider,416,6
417,Marek Langhamer,417,2
418,Michael McNiven,418,16
419,Joonas Korpisalo,419,8
420,Jared Coreau,420,11
421,Vitek Vanecek,421,29
422,Mac Carruth,422,7
423,Antoine Bibeau,423,27
424,Connor Ingram,424,11
425,Parker Milner,425,19
426,Anthony Stolarz,426,22
427,John Muse,427,10
428,Matt Murray,428,23
429,Daniel Altshuller,429,5
430,Michael Leighton,430,7
431,Oscar Dansk,431,8
432,Eetu Laurikainen,432,12
433,Joe Cannata,433,28
434,Ty Rimmer,434,12
435,Dustin Carlson,435,8
436,Adin Hill,436,2
437,Ken Appleby,437,17
438,Leland Irving,438,15
439,Scott Wedgewood,439,17
440,Tristan Jarry,440,23
441,Brandon Hope,441,7
442,Evan Smith,442,18
443,Stephon Williams,443,19
444,Rasmus Tirronen,444,5
445,Brendan Burke,445,1
446,Allen York,446,26
447,MacKenzie Blackwood,447,17
448,Patrik Bartosak,448,14
449,Brad Thiessen,449,8
450,Christopher Gibson,450,19
451,Taran Kozun,451,29
452,Roman Will,452,9
453,C.J. Motte,453,4
454,David Leggio,454,30
455,Adam Wilcox,455,26
456,Aaron Dell,456,24
457,Matthew Mancina,457,11
458,Kevin Lalande,458,15
459,Sergei Gayduchenko,459,13
460,Brody Hoffman,460,15
461,Pheonix Copley,461,25
462,Jon Gillies,462,6
463,Jeff Malcolm,463,20
464,Philippe Cadorette,464,26
465,Rob Madore,465,27
466,Mark Dekanich,466,29
467,Juho Olkinuora,467,30
468,Max Lagace,468,10
469,Edward Pasquale,469,16
470,Maximilian Pajpach,470,9
471,Alex Nedeljkovic,471,5
472,Jake Paterson,472,11
473,Tyler Beskorowany,473,2
474,Philippe Desrosiers,474,10
475,Liam Herbst,475,24
476,Niklas Treutle,476,2
477,Jack Flinn,477,14
478,Zachary Fucale,478,16
479,Zane McIntyre,479,3
480,Luke Opilka,480,25
481,Eric Comrie,481,30
482,Jordan Binnington,482,25
483,Daniel Vladar,483,3
484,Sam Brittain,484,13
485,Yann Danis,485,17
486,Matt Ginn,486,3
487,Joel Rumpel,487,24
488,Scott Greenham,488,21
489,Landon Bow,489,1
490,Stephen Michalek,490,15
491,Merrick Madsen,491,22
492,Niklas Lundstrom,492,25
493,Martin Ouellette,493,22
494,Samuel Montembeault,494,13
495,Brandon Halverson,495,20
496,Peter Budaj,496,14
497,Drew MacIntyre,497,5
498,Mark Visentin,498,7
499,Magnus Hellberg,499,20
500,Cedrick Desjardins,500,20
501,Kent Simpson,501,6
502,Andrey Makarov,502,4
503,Jack Campbell,503,10
504,Nathan Lieuwen,504,4
505,Matthew O'Connor,505,21
506,Marek Mazanec,506,18
507,Dan Ellis,507,29
508,Louis Domingue,508,2
509,Juuse Saros,509,18
510,Jason LaBarbera,510,22
511,Jean-Francois Berube,511,19
512,Mike McKenna,512,13
513,Dale Weise,513,16
514,Kevin Poulin,514,6
515,Joni Ortio,515,6
516,Linus Ullmark,516,4
517,Francois Beauchemin,517,9
518,Matt Hackett,518,1
519,Martin Hanzal,519,2
520,Anton Forsberg,520,8
521,Justin Peters,521,29
522,Tom Wilson,522,29
523,Blake Comeau,523,9
524,Brandon Prust,524,28
525,Jason Chimera,525,29
526,Lars Eller,526,16
527,Daniel Winnik,527,27
528,Ray Emery,528,26
529,Matt Martin,529,19
530,Rickard Rakell,530,1
531,Jason Zucker,531,15
532,Brian Boyle,532,26
533,Vincent Trocheck,533,13
534,Nathan Gerbe,534,5
535,Justin Braun,535,24
536,Leo Komarov,536,27
537,Shawn Horcoff,537,1
538,Vernon Fiddler,538,10
539,Jeff Petry,539,16
540,Ryan Garbutt,540,7
541,Mikael Backlund,541,6
542,Michael Stone,542,2
543,Kevin Bieksa,543,1
544,Nikolay Kulemin,544,19
545,Mikhail Grabovski,545,19
546,Dylan Larkin,546,11
547,Cal Clutterbuck,547,19
548,Tanner Pearson,548,14
549,Kevin Connauton,549,8
550,Artemi Panarin,550,7
551,Eric Gryba,551,12
552,Eric Fehr,552,23
553,Tobias Rieder,553,2
554,Eric Gelinas,554,17
555,Barret Jackman,555,18
556,Jarret Stoll,556,20
557,Jonathan Ericsson,557,11
558,Brett Connolly,558,3
559,Dominic Moore,559,20
560,David Jones,560,6
561,Kyle Clifford,561,14
562,Nathan Beaulieu,562,16
563,Erik Condra,563,26
564,Dave Bolland,564,13
565,Karl Alzner,565,29
566,Jordin Tootoo,566,17
567,Chris Thorburn,567,30
568,Joe Colborne,568,6
569,Mike Santorelli,569,1
570,Brendan Smith,570,11
571,John Mitchell,571,9
572,Yannick Weber,572,28
573,Trevor Lewis,573,14
574,J.T. Brown,574,26
575,Scott Gomez,575,25
576,Shawn Matthias,576,27
577,Brad Richardson,577,2
578,Brenden Dillon,578,24
579,Marc Methot,579,21
580,Matt Calvert,580,8
581,Kyle Quincey,581,11
582,Casey Cizikas,582,19
583,Erik Gudbranson,583,13
584,Matt Hendricks,584,12
585,Nick Holden,585,9
586,Dmitry Kulikov,586,13
587,Ian Cole,587,23
588,Gregory Campbell,588,8
589,Mark Borowiecki,589,21
590,Matt Nieto,590,24
591,Marcus Foligno,591,4
592,Mark Stuart,592,30
593,Chris Kelly,593,3
594,John Moore,594,17
595,Leon Draisaitl,595,12
596,Cody Ceci,596,21
597,Vladislav Namestnikov,597,26
598,Teemu Pulkkinen,598,11
599,Calvin de Haan,599,19
600,Adam McQuaid,600,3
601,Lance Bouma,601,6
602,Teuvo Teravainen,602,7
603,Ben Lovejoy,603,23
604,Dmitrij Jaskin,604,25
605,Damon Severson,605,17
606,Adam Lowry,606,30
607,Tom Gilbert,607,16
608,Alexei Emelin,608,16
609,Johnny Oduya,609,10
610,Clayton Stoner,610,1
611,Torrey Mitchell,611,16
612,Brandon Bollig,612,6
613,Oscar Lindberg,613,20
614,Brooks Orpik,614,29
615,Calle Jarnkrok,615,18
616,Jamie McGinn,616,4
617,Derek MacKenzie,617,13
618,Zac Rinaldo,618,3
619,Carl Gunnarsson,619,25
620,Jay Beagle,620,29
621,Patrick Wiercioch,621,21
622,Simon Despres,622,1
623,Paul Martin,623,24
624,Andre Burakovsky,624,29
625,Cody Hodgson,625,18
626,Ryan Carter,626,15
627,Anthony Duclair,627,2
628,Zack Smith,628,21
629,Kyle Chipchura,629,2
630,Derek Roy,630,29
631,Colton Parayko,631,25
632,Jordie Benn,632,10
633,David Clarkson,633,8
634,Kevan Miller,634,3
635,Brad Malone,635,5
636,Cedric Paquette,636,26
637,Luke Glendening,637,11
638,Kyle Brodziak,638,25
639,Marcus Kruger,639,7
640,Christopher Tanev,640,28
641,Melker Karlsson,641,24
642,Riley Nash,642,5
643,John-Michael Liles,643,5
644,Braydon Coburn,644,26
645,Brian Flynn,645,16
646,Andrej Sustr,646,26
647,Ryan Murray,647,8
648,Mark Arcobello,648,27
649,Matt Bartkowski,649,28
650,Radko Gudas,650,22
651,Robert Bortuzzo,651,25
652,Paul Gaustad,652,18
653,Dwight King,653,14
654,Bo Horvat,654,28
655,Matt Stajan,655,6
656,Jiri Sekac,656,1
657,Ryan White,657,22
658,Ryan Reaves,658,25
659,Beau Bennett,659,23
660,Viktor Stalberg,660,20
661,Erik Haula,661,15
662,Sean Bergenheim,662,15
663,Jacob Josefson,663,17
664,Thomas Hickey,664,19
665,Anthony Peluso,665,30
666,Tomas Jurco,666,11
667,Zack Kassian,667,16
668,Stephen Gionta,668,17
669,Chris Tierney,669,24
670,Mark Letestu,670,12
671,Colin Miller,671,3
672,Nicklas Grossmann,672,2
673,Jared Cowen,673,21
674,Roman Polak,674,27
675,Nate Thompson,675,1
676,Curtis Lazar,676,21
677,Fedor Tyutin,677,8
678,Valeri Nichushkin,678,10
679,Andrej Nestrasil,679,5
680,Matt Hunwick,680,27
681,Luke Schenn,681,22
682,Luca Sbisa,682,28
683,Paul Byron,683,16
684,Pascal Dupuis,684,23
685,Zach Redmond,685,9
686,Shawn Thornton,686,13
687,Willie Mitchell,687,13
688,Dennis Seidenberg,688,3
689,Jordan Nolan,689,14
690,Zbynek Michalek,690,2
691,Michael Latta,691,29
692,Scott Laughton,692,22
693,Chris VandeVelde,693,22
694,Chris Terry,694,5
695,Ron Hainsey,695,5
696,Pierre-Edouard Bellemare,696,22
697,Gabriel Bourque,697,18
698,Cody Goloubef,698,8
699,Lauri Korpikoski,699,12
700,Jesper Fast,700,20
701,John Scott,701,2
702,Jamie McBain,702,14
703,Eric Nystrom,703,18
704,Deryk Engelland,704,6
705,David Schlemko,705,17
706,Ryan Murphy,706,5
707,Drew Miller,707,11
708,Sam Reinhart,708,4
709,Nick Schultz,709,22
710,Johan Larsson,710,4
711,Andrew Desjardins,711,7
712,Rob Scuderi,712,23
713,Rene Bourque,713,8
714,Tanner Glass,714,20
715,James Sheppard,715,8
716,Boyd Gordon,716,2
717,Jay McClement,717,5
718,Matt Greene,718,14
719,Nicolas Deslauriers,719,4
720,Richard Panik,720,27
721,Jay Harrison,721,30
722,Andrew MacDonald,722,22
723,Tim Jackman,723,1
724,Barclay Goodrow,724,24
725,Jack Skille,725,9
726,Linden Vey,726,28
727,Sergei Gonchar,727,23
728,Tyler Kennedy,728,17
729,Nate Prosser,729,15
730,Ryan Stanton,730,29
731,Dainius Zubrus,731,24
732,Tuomo Ruutu,732,17
733,Andy Andreoff,733,14
734,Nick Shore,734,14
735,Alexander Wennberg,735,8
736,Adam Pardy,736,30
737,Mattias Janmark,737,10
738,Connor Murphy,738,2
739,Dalton Prout,739,8
740,David Booth,740,13
741,Markus Granlund,741,6
742,Jared McCann,742,28
743,Nikita Zadorov,743,9
744,Ben Smith,744,24
745,Brandon Manning,745,22
746,Brian Strait,746,19
747,Bobby Farnham,747,17
748,Mikhail Grigorenko,748,9
749,Shayne Gostisbehere,749,22
750,Dmitry Orlov,750,29
751,Joakim Andersson,751,11
752,Ben Chiarot,752,30
753,Mike Brown,753,24
754,Jan Hejda,754,7
755,Sven Baertschi,755,28
756,Nate Schmidt,756,29
757,Andrej Meszaros,757,9
758,Nikita Nesterov,758,26
759,Matt Tennyson,759,24
760,Martin Havlat,760,25
761,Rob Klinkhammer,761,12
762,Jyrki Jokipakka,762,10
763,Michal Rozsival,763,7
764,Joonas Donskoi,764,24
765,Carlo Colaiacovo,765,4
766,Christian Folin,766,15
767,Taylor Beck,767,19
768,Luke Gazdic,768,12
769,Nate Guenin,769,9
770,Jamie Oleksiak,770,10
771,Stephane Robidas,771,27
772,Josh Gorges,772,4
773,Chris Butler,773,25
774,Micheal Ferland,774,6
775,Jeremy Morin,775,7
776,Tyler Randell,776,3
777,Alex Petrovic,777,13
778,Mike Weber,778,4
779,Zach Sill,779,29
780,Noah Hanifin,780,5
781,Chris Wagner,781,9
782,Zach Trotman,782,3
783,Jon Merrill,783,17
784,Matt Cooke,784,15
785,Brad Stuart,785,9
786,Joe Vitale,786,2
787,Robby Fabbri,787,25
788,Nikita Nikitin,788,12
789,Shane Prince,789,21
790,Jordan Schroeder,790,15
791,Quinton Howden,791,13
792,Andrew Ference,792,12
793,Travis Moen,793,10
794,Emerson Etem,794,20
795,Adam Cracknell,795,28
796,Daniel Paille,796,7
797,Patrick Dwyer,797,2
798,Brett Bellemore,798,20
799,Corey Tropp,799,7
800,Alex Burmistrov,800,30
801,Tim Gleason,801,5
802,Mark Fraser,802,21
803,Matt Halischuk,803,30
804,Adam Clendening,804,23
805,Josh Manson,805,1
806,Viktor Arvidsson,806,18
807,Brett Ritchie,807,10
808,Evgeny Medvedev,808,22
809,Brandon Davidson,809,12
810,Tye McGinn,810,26
811,Marc-Andre Cliche,811,9
812,Korbinian Holzer,812,1
813,Dylan Olsen,813,13
814,Ben Hutton,814,28
815,Klas Dahlbeck,815,2
816,Mark Barberio,816,16
817,Jonathan Marchessault,817,26
818,Victor Bartley,818,18
819,Kerby Rychel,819,8
820,Martin Marincin,820,27
821,Colin McDonald,821,22
822,Chris Wideman,822,21
823,Matt Fraser,823,30
824,Sergei Plotnikov,824,23
825,Jordan Martinook,825,2
826,Brian Dumoulin,826,23
827,Keith Aulie,827,2
828,William Karlsson,828,8
829,Andre Benoit,829,25
830,Sven Andrighetto,830,16
831,Steven Kampfer,831,13
832,Raphael Diaz,832,20
833,Landon Ferraro,833,3
834,Colin Greening,834,21
835,Trevor van Riemsdyk,835,7
836,Jake Virtanen,836,28
837,Austin Watson,837,18
838,Frank Vatrano,838,3
839,Paul Postma,839,30
840,Chris Phillips,840,21
841,Magnus Paajarvi,841,25
842,Joel Edmundson,842,25
843,Andrew Copp,843,30
844,Connor Brickley,844,13
845,Chris Porter,845,15
846,Seth Griffith,846,3
847,Ronalds Kenins,847,28
848,Michael Bournival,848,16
849,Dylan McIlrath,849,20
850,Joakim Nordstrom,850,5
851,Curtis McKenzie,851,10
852,Brian Gibbons,852,20
853,Iiro Pakarinen,853,12
854,Matt Puempel,854,21
855,Tim Erixon,855,23
856,Cody McCormick,856,4
857,Mark Pysyk,857,4
858,Stefan Elliott,858,2
859,Eric Boulton,859,19
860,Michael Chaput,860,8
861,Radek Faksa,861,10
862,Mark Fayne,862,12
863,Tom Sestito,863,23
864,Grant Clitsome,864,30
865,Dennis Everberg,865,9
866,Colton Sissons,866,18
867,Andreas Martinsen,867,9
868,Ryane Clowe,868,17
869,Jake McCabe,869,4
870,Michal Jordan,870,5
871,Petteri Lindbohm,871,25
872,Brett Pesce,872,5
873,Matt Donovan,873,4
874,Stu Bickel,874,25
875,Craig Cunningham,875,2
876,Byron Froese,876,27
877,Sergey Kalinin,877,17
878,Zach Boychuk,878,5
879,Joe Morrow,879,3
880,Liam O'Brien,880,29
881,Erik Gustafsson,881,7
882,Tanner Kero,882,7
883,Miikka Salomaki,883,18
884,Taylor Chorney,884,29
885,Micheal Haley,885,24
886,Rich Clune,886,27
887,Brandon Gormley,887,9
888,Mike Weaver,888,16
889,Daniel Sprong,889,23
890,Jacob De La Rose,890,16
891,Viktor Svedberg,891,7
892,Stefan Matteau,892,17
893,Christian Thomas,893,16
894,Brian Lashoff,894,11
895,Seth Helgeson,895,17
896,Xavier Ouellet,896,11
897,Stanislav Galiev,897,29
898,Bryan Rust,898,23
899,Griffin Reinhart,899,12
900,Brian McGrattan,900,1
901,Dustin Jeffrey,901,2
902,Patrick Bordeleau,902,9
903,Patrik Nemeth,903,10
904,Taylor Fedun,904,28
905,Eric O'Dell,905,21
906,Matt Carkner,906,19
907,Greg Pateryn,907,16
908,Patrick Kaleta,908,4
909,Jesse Winchester,909,9
910,Jayson Megna,910,20
911,Jordan Caron,911,25
912,Alexey Marchenko,912,11
913,Devin Setoguchi,913,27
914,Luke Witkowski,914,26
915,Josh Anderson,915,8
916,Michael Kostka,916,21
917,Ty Rattie,917,25
918,Sam Carrick,918,27
919,Tim Schaller,919,4
920,Daniel Cleary,920,11
921,Mirco Mueller,921,24
922,Rocco Grimaldi,922,13
923,Nikolay Goldobin,923,24
924,Lucas Lessio,924,2
925,Kurtis Gabriel,925,15
926,Jarred Tinordi,926,16
927,Joonas Kemppainen,927,3
928,Eric Tangradi,928,11
929,Alex Biega,929,28
930,Derek Forbort,930,14
931,Brett Sutter,931,15
932,Jaccob Slavin,932,5
933,Reid Boucher,933,17
934,Andrew Miller,934,12
935,Peter Harrold,935,25
936,Brandon Mashinter,936,7
937,Brian O'Neill,937,17
938,Matt Frattin,938,27
939,Paul Bissonnette,939,14
940,Steve Oleksy,940,23
941,Logan Shaw,941,13
942,Andreas Athanasiou,942,11
943,Sheldon Brookbank,943,1
944,Nic Petan,944,30
